Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
FT2,4.38,64.117,345.644,199,-71,1.9,1,0,0,0
FT1,4.38,64.116,345.646,53,-87,3.2,1,0,0,0
FS30,4.18,64.193,345.68,231,-82,2.8,1,0,0,0
FS23,4.38,64.151,345.719,212,-57,2.1,1,0,0,0
FS22,4.4,64.147,345.723,239,-61,1.7,1,0,0,0
FS21,4.42,64.143,345.728,209,-70,3.9,1,0,0,0
FS19,5.02,64.029,345.841,176,-82,2.6,1,0,0,0
FS17,5.04,64.025,345.846,164,-65,3.3,1,0,0,0
FS16,5.04,64.024,345.846,150,-63,1.8,1,0,0,0
FS15,5.07,64.018,345.851,151,-56,3.4,1,0,0,0
FR26,5.33,64.002,345.995,81,-85,3.1,1,0,0,0
FR25,5.34,63.999,345.997,123,-80,3.6,1,0,0,0
FR24,5.35,63.997,345.999,208,-81,2.8,1,0,0,0
FR21,5.4,63.987,346.009,191,-76,2.6,1,0,0,0
FR20,5.41,63.985,346.011,249,-78,2.4,1,0,0,0
FR19,5.41,63.985,346.013,225,-74,3.4,1,0,0,0
FR18,5.44,63.979,346.017,212,-79,2.6,1,0,0,0
FR17,5.47,63.973,346.023,237,-60,1.9,1,0,0,0
FR15,6.25,63.824,346.17,63,-79,2.8,1,0,0,0
FR14,6.27,63.82,346.174,217,-78,3.3,1,0,0,0
FR13,6.3,63.814,346.181,210,-73,3.2,1,0,0,0
FR4,7,63.676,346.312,200,-68,4.9,1,0,0,0
PB01,9,-17.503,352.123,199.4,38,8.1,1,0,0,0
LH11,9.2,-17.511,352.011,208.3,30.3,8.7,1,0,0,0
LH12,9.2,-17.511,352.011,190.3,28.6,4.6,1,0,0,0
LH13,9.2,-17.511,352.011,191.6,37.8,5.2,1,0,0,0
LH14,9.2,-17.511,352.012,191.6,38,3.9,1,0,0,0
LH15,9.2,-17.512,352.012,151.2,21.6,2.8,1,0,0,0
LH25,9.2,-17.515,352.016,181.6,-29.5,9.4,1,0,0,0
LH26,9.2,-17.515,352.016,181.3,-37,4.8,1,0,0,0
CH01,9.2,-17.518,352.017,197.7,15.4,10.5,1,0,0,0
CH02,9.2,-17.518,352.017,188.4,12.3,5.7,1,0,0,0
Apnia (2),1.55,41.238,42.824,185,-55,3.1,1,0,0,0
Araxlo,1.55,41.353,44.241,178,-60,2.2,1,0,0,0
