Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
GU05,0.047,16.04,298.301,1,30.2,2.4,1,0,0,0
GU07,0.62,15.995,298.202,-1.6,43.8,2.6,1,0,0,0
GU11,0.785,16.002,298.14,-19.3,31.4,3.8,1,0,0,0
GU13,0.784,15.97,298.141,3.6,29.6,3,1,0,0,0
GU14,0.445,15.987,298.244,13.9,47.7,3.6,1,0,0,0
GU15,0.555,15.9,298.214,7.2,36.3,4.6,1,0,0,0
GU17,0.5,15.926,298.31,7.5,23.6,1.6,1,0,0,0
GU18,0.5,15.923,298.309,9.4,24.5,5,1,0,0,0
GU19,0.143,16.049,298.272,-8.5,16.9,4.9,1,0,0,0
GU20,0.472,15.9,298.224,-8.1,36.6,4.1,1,0,0,0
GU21:GU31:GU33,0.533,15.98,298.178,359.9,30.8,1.2,1,0,0,0
GU22,0.746,15.976,298.148,2.5,24.7,2.1,1,0,0,0
GU24,0.5,15.97,298.33,8,33.5,2.6,1,0,0,0
GU25,0.5,15.99,298.283,4.8,22.8,6,1,0,0,0
GU26:GU29:GU30,0.361,16.01,298.295,1.8,33.8,1.5,1,0,0,0
GU27,0.5,15.966,298.263,15.5,23,6.9,1,0,0,0
GU28,0.5,15.924,298.255,-3.4,43.9,3.7,1,0,0,0
TL1,0.115,20.836,256.195,358.5,23.3,6.5,1,0,0,0
TL2,0.416,20.88,256.191,341.6,20.5,7.2,1,0,0,0
TL3,0.622,20.91,256.173,356.7,17.5,5.8,1,0,0,0
TL4,0.642,20.948,256.096,1.6,26.8,8.6,1,0,0,0
TL7,0.691,20.856,256.337,344.1,39.4,7.9,1,0,0,0
TM11,0.343,20.718,256.132,356.4,48.1,7.2,1,0,0,0
TM2,0.196,20.811,256.148,345.6,41.5,8,1,0,0,0
TM3,0.191,20.831,256.153,10.5,26.1,5.1,1,0,0,0
TM5,0.604,20.967,256.145,339.7,24.3,5.8,1,0,0,0
TM6,0.261,20.91,256.105,11.5,37.3,7.8,1,0,0,0
TM8,0.619,20.84,256.029,356.5,26.9,6.4,1,0,0,0
