Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
TM15,2450,47.76,-81.61,23.4,12.1,14,1,0,0,0
TM16,2450,47.75,-81.62,29.1,7.4,11.7,1,0,0,0
TM18,2450,47.75,-81.64,26.6,3.6,7,1,0,0,0
TM22,2450,47.75,-81.67,37.6,11.7,12.8,1,0,0,0
TM27,2450,47.7,-81.73,18.6,16.6,7.1,1,0,0,0
TM28,2450,47.71,-81.78,34.5,14.1,11.2,1,0,0,0
TM29,2450,47.7,-81.79,20.9,13,8.6,1,0,0,0
TM31,2450,47.67,-81.8,24.2,19.7,8.3,1,0,0,0
TM33,2450,47.67,-81.81,28.9,19.5,5.4,1,0,0,0
TM35,2450,47.66,-81.82,25.5,12.1,7.9,1,0,0,0
TM37,2450,47.65,-81.83,41,13.6,12.2,1,0,0,0
TM39,2450,47.65,-81.84,39.9,10.3,9.8,1,0,0,0
TM41,2450,47.63,-81.86,24.9,11.6,10.7,1,0,0,0
TK71,2450,47.42,-83.93,16.1,11.5,9.9,1,0,0,0
TK72,2450,47.43,-83.92,10.3,21.3,6,1,0,0,0
TK75,2450,47.43,-83.93,22.9,26.5,10.4,1,0,0,0
TK78,2450,47.49,-83.82,16.2,16.4,10,1,0,0,0
RL36,2450,46.61,-83.43,34.5,-4,7.1,1,0,0,0
TM47,2450,47.33,-81.77,17,17.3,3.7,1,0,0,0
TM50,2450,47.1,-81.67,18.3,-3.6,7.4,1,0,0,0
TM60,2450,47.09,-81.66,11.3,-1.3,10.5,1,0,0,0
2,2450,47.36,-84.68,34.7,14.8,4.4,1,0,0,0
GD2,2450,47.72,-84.8,22.9,16.1,14,1,0,0,0
GD6,2450,47.57,-84.8,39,9.7,3.2,1,0,0,0
GD7,2450,47.6,-84.8,38.3,16.7,11.6,1,0,0,0
GD8,2450,47.62,-84.8,41.2,20.1,5.1,1,0,0,0
KS4,2450,48.43,-83.5,41,15,12,1,0,0,0
KS6,2450,48.38,-83.62,37,24,9,1,0,0,0
KS8,2450,48.37,-83.66,40,19,7,1,0,0,0
KS11,2450,48.26,-83.83,43,31,12,1,0,0,0
195,2450,47.9,-84.04,35,35,6,1,0,0,0
197,2450,47.9,-84.03,64,28,6,1,0,0,0
205,2450,47.89,-84.01,56,33,8,1,0,0,0
209,2450,47.88,-83.95,41,24,14,1,0,0,0
215,2450,47.85,-83.75,48,20,4,1,0,0,0
MK36,2450,48.18,-84.09,51.6,29.6,8.7,1,0,0,0
MC02,2450,47.88,-83.95,72.2,14.6,5,1,0,0,0
MC05,2450,47.89,-84.05,39.8,34.1,5.6,1,0,0,0
MC06,2450,47.89,-84.05,54.4,14.4,7.9,1,0,0,0
